No,Date,Time,Inlet TSS (mg/L),Inlet pH,Outlet TSS (mg/L),Outlet pH,Inlet Disch (m3/s),Dosis CL-80 (ppm),Timestamp,Kolom T1,Kolom T2,Kolom T3,Efisiensi_TSS,Delta_pH,Beban_TSS
62,2025-06-03,17:00:00,397.0,7.7,83.0,7.57,2.13,1.0432968179447053,2025-06-03 17:00:00,1.0432968179447053,1.0432968179447053,1.0240655401945724,79.09319899244332,-0.1299999999999999,845.61
63,2025-06-03,18:00:00,395.0,7.71,85.0,7.6,2.13,1.0432968179447053,2025-06-03 18:00:00,1.0432968179447053,1.0432968179447053,1.0432968179447053,78.48101265822784,-0.11000000000000032,841.3499999999999
64,2025-06-03,19:00:00,327.0,8.15,72.0,7.54,2.09,1.063264221158958,2025-06-03 19:00:00,1.0432968179447053,1.0432968179447053,1.0432968179447053,77.98165137614679,-0.6100000000000003,683.43
65,2025-06-03,20:00:00,332.0,8.11,78.0,7.61,2.09,1.063264221158958,2025-06-03 20:00:00,1.063264221158958,1.0432968179447053,1.0432968179447053,76.50602409638554,-0.4999999999999991,693.88
66,2025-06-03,21:00:00,381.0,7.99,83.0,7.72,2.09,1.063264221158958,2025-06-03 21:00:00,1.063264221158958,1.063264221158958,1.0432968179447053,78.21522309711287,-0.27000000000000046,796.29
67,2025-06-03,22:00:00,377.0,8.08,97.0,7.98,2.09,1.063264221158958,2025-06-03 22:00:00,1.063264221158958,1.063264221158958,1.063264221158958,74.27055702917772,-0.09999999999999964,787.93
68,2025-06-03,23:00:00,369.0,8.1,119.0,7.93,2.09,1.063264221158958,2025-06-03 23:00:00,1.063264221158958,1.063264221158958,1.063264221158958,67.75067750677508,-0.16999999999999993,771.2099999999999
94,2025-06-04,00:00:00,315.0,8.25,115.0,8.2,2.01,0.8291873963515755,2025-06-04 00:00:00,1.063264221158958,1.063264221158958,1.063264221158958,63.49206349206349,-0.05000000000000071,633.15
95,2025-06-04,01:00:00,307.0,8.2,111.0,8.09,2.01,0.8291873963515755,2025-06-04 01:00:00,0.8291873963515755,1.063264221158958,1.063264221158958,63.84364820846905,-0.10999999999999943,617.0699999999999
96,2025-06-04,02:00:00,304.0,8.16,106.0,8.11,2.01,0.8291873963515755,2025-06-04 02:00:00,0.8291873963515755,0.8291873963515755,1.063264221158958,65.13157894736842,-0.05000000000000071,611.04
97,2025-06-04,03:00:00,326.0,8.23,109.0,8.06,2.01,0.8291873963515755,2025-06-04 03:00:00,0.8291873963515755,0.8291873963515755,0.8291873963515755,66.56441717791411,-0.16999999999999993,655.2599999999999
98,2025-06-04,04:00:00,322.0,8.26,112.0,8.15,2.01,0.8291873963515755,2025-06-04 04:00:00,0.8291873963515755,0.8291873963515755,0.8291873963515755,65.21739130434783,-0.10999999999999943,647.2199999999999
