Inlet TSS (mg/L),Inlet pH,Outlet TSS (mg/L),Outlet pH,Inlet Disch (m3/s),Kolom T1,Kolom T2,Kolom T3,Efisiensi_TSS,Delta_pH,Beban_TSS
0.24211112999498874,-0.639426160732271,-1.520418651875686,-0.4063671708314878,0.5976659180420594,-0.03614363477182446,-0.03679531215496421,-0.03745166399936434,1.274826884348389,0.05372524883316963,0.3015454792230004
0.2349460482520556,-0.5570107700565116,-1.477339041449256,-0.29029012074992433,0.5976659180420594,-0.03614363477182446,-0.03679531215496421,-0.03745166399936434,1.250231905314799,0.1464505633937481,0.295671401315354
0.20270318040885643,-0.4333876840428689,-1.498878846662471,-0.3483286457907074,0.5976659180420594,-0.03614363477182446,-0.03679531215496421,-0.03745166399936434,1.2521212402236759,-0.08536272300769604,0.26923805073094487
0.20986826215178958,-0.35097229336710595,-1.563498262302116,-0.4644056958722709,0.5976659180420594,-0.03614363477182446,-0.03679531215496421,-0.03745166399936434,1.2884367409554203,-0.3635386666894274,0.27511212863859125
1.1305812661186991,0.8852585667693098,2.033649208304791,0.5802877548618006,0.7016037755980473,-0.03614363477182446,-0.03679531215496421,-0.03745166399936434,0.09194636568196143,-0.08536272300769604,1.0781550108033666
1.1198336435042993,0.7616354807556671,1.9044103770255005,-0.11617454562758035,0.5976659180420594,1.2068498130583638,-0.03679531215496421,-0.03745166399936434,0.13579206125231927,-1.0589785258937476,1.02112002290969
1.062512989560834,0.9264662621071895,1.6459327144669205,-0.058136020586797316,0.5976659180420594,1.2587183921034386,1.206735749190306,-0.03745166399936434,0.2053493723912684,-1.1517038404543218,0.9741273996485186
0.8905510277304386,0.8028431760935468,1.2797560258422653,-9.749554601685544e-05,0.5976659180420594,0.827097716478351,1.2586267621823588,1.2066246532331675,0.25983085947356993,-0.9198905540528819,0.8331495298650038
0.83681291465844,0.6792200900799078,0.8704997267911802,0.20303734209671992,0.7016037755980473,0.827097716478351,0.8268194040699178,1.2585384190789364,0.4023394948955996,-0.4562639812500018,0.833111053372159
0.618277921498979,0.22593544136322044,0.590482259019385,0.4351914422598469,0.8055416331540352,-0.06578282279758131,0.8268194040699178,0.8265417247195028,0.40918379687767,0.42462650707547533,0.6917099421673509
0.5036366136120486,0.3907662227147428,0.26738518082115986,0.6963648049433642,0.9354639550990194,-0.09442153190263755,-0.06644731957899425,0.8265417247195028,0.4964847655740932,0.6564397934769154,0.643498896632759
0.43915087792565033,0.5968046994041448,-0.07725170259028032,0.5802877548618006,0.9354639550990194,-0.12888857333589238,-0.0950984153600191,-0.06711667305408915,0.6277182168826889,0.23917587795432246,0.5876310290220432
0.3710826013677854,0.3083508320389798,-0.3357293651488604,0.40617217973945413,1.0394018126550073,-0.12888857333589238,-0.12958036431135597,-0.09578033159219881,0.7209855153469182,0.28553853523460965,0.5660072400432398
0.36033497875338566,0.22593544136322044,-0.4865080016413655,0.4932299673006274,1.0394018126550073,-0.1554534150259134,-0.12958036431135597,-0.13027739997742394,0.790996652418332,0.5173518216360496,0.5565420228034078
0.48214136838324917,0.2671431367011001,-0.7234458589867306,0.057941029494766184,1.0394018126550073,-0.1554534150259134,-0.15615669569824026,-0.13027739997742394,0.9567883623623107,-0.22445069484855762,0.6638144848548375
0.5358794814552478,0.5968046994041448,-0.8096050798395906,-9.749554601685544e-05,1.0394018126550073,-0.1554534150259134,-0.15615669569824026,-0.15686538439140255,1.0167194377715103,-0.6880772676514418,0.7111405710539979
0.39257784659658485,-1.628410848841405,-0.5511274172810106,-0.23225159570914386,0.8055416331540352,-0.1554534150259134,-0.15615669569824026,-0.15686538439140255,0.8373136018959071,1.4446049672418142,0.5002124372785539
0.41765563269685085,-1.7932416301929273,-0.6372866381338705,-0.08715528310719013,0.8055416331540352,-0.09442153190263755,-0.15615669569824026,-0.15686538439140255,0.8900758782902715,1.861868882764407,0.5214899378217535
0.40690801008245114,-1.6696185441792846,-0.5942070277074406,-0.1742130706683608,0.8055416331540352,-0.09442153190263755,-0.0950984153600191,-0.15686538439140255,0.8645711138734886,1.5836929390826797,0.5123710090175252
0.3567524378819191,-1.4635800674898827,-0.9388439111188808,-0.11617454562758035,0.7016037755980473,-0.09442153190263755,-0.0950984153600191,-0.09578033159219881,1.0152463567350172,1.4446049672418142,0.4326733668382346
0.31376194742432023,-1.2987492861383603,-1.2834807945303208,-0.2612708582295341,0.7016037755980473,-0.06578282279758131,-0.0950984153600191,-0.09578033159219881,1.174112853172521,1.0273410517192212,0.39681327550683837
-0.6499415470001881,1.338543215485997,-1.1327021580378158,0.8704803800657082,0.3897902029300837,-0.06578282279758131,-0.06644731957899425,-0.09578033159219881,0.5662266751369548,-0.13172538028798736,-0.47523078382636
-0.6248637608999221,1.503373996837516,-1.0034633267585258,0.9575381676268788,0.3897902029300837,-0.8681364303206356,-0.06644731957899425,-0.06711667305408915,0.48426901627471364,-0.17808803756827454,-0.4553897390160346
-0.6033685156711227,1.7918278642026808,-1.0680827423981707,1.0445959551880546,0.3897902029300837,-0.8681364303206356,-0.8691479572042845,-0.06711667305408915,0.5550855366100435,-0.3635386666894233,-0.4383831291786128
-0.6535240878716547,1.5445816921753956,-1.1111623528246009,1.102634480228835,0.3897902029300837,-0.8681364303206356,-0.8691479572042845,-0.8701692739410775,0.5454260688568644,0.007362591552882442,-0.4780652187992637
-0.667854251357521,1.338543215485997,-0.9819235215453107,0.8994996425860984,0.18191448781810796,-0.8681364303206356,-0.8691479572042845,-0.8701692739410775,0.42571430016958234,-0.08536272300770016,-0.534343502333658
-0.6857669557148539,1.2561278248102306,-0.9388439111188808,0.9865574301472743,0.2858523453740958,-0.8345405652708124,-0.8691479572042845,-0.8701692739410775,0.3718822419276122,0.1464505633937522,-0.5257888954244873
-0.6750193331004541,1.4209586061617565,-0.8526846902660207,1.0445959551880546,0.2858523453740958,-0.8516481371049389,-0.8355375614333758,-0.8701692739410775,0.31145071894262705,0.05372524883316963,-0.5174394964771558
0.31376194742432023,0.14352005068745746,-1.1757817684642458,0.4932299673006274,0.5976659180420594,-0.8516481371049389,-0.8526525325517417,-0.8365441408895836,1.1194250710211548,0.6100771361966282,0.3602862582994648
-0.02299689449353772,-0.22734920735346692,-1.2404011841038909,-0.08715528310719013,0.5976659180420594,-0.03614363477182446,-0.8526525325517417,-0.853666616475713,1.0274646451122562,0.10008790611345682,0.08420459664008183
-0.012249271879138,-0.1449338166777039,-1.1327021580378158,-0.4934249583926611,0.5976659180420594,-0.03614363477182446,-0.03679531215496421,-0.853666616475713,0.9693286847107074,-0.6417146103711546,0.09301571350155136
-0.03732705797940402,-0.021310730664061233,-1.1542419632510308,-0.3483286457907074,0.5976659180420594,-0.03614363477182446,-0.03679531215496421,-0.03745166399936434,0.9705745473544412,-0.5489892958105803,0.07245644082478883
-0.06598738495113661,-0.18614151201558357,-1.477339041449256,-0.29029012074992433,0.5976659180420594,-0.46776431039691185,-0.03679531215496421,-0.03745166399936434,1.150107985099479,-0.27081335212884894,0.048960129194203124
-0.4385716355836603,0.5143893087283855,-1.9512147561399862,0.3771529172190639,0.5976659180420594,-0.46776431039691185,-0.46860267026740493,-0.03745166399936434,1.3210072863456317,0.007362591552878325,-0.2564919220034122
-0.4529017990695266,0.2671431367011001,-1.606577872728546,-0.4063671708314878,0.5976659180420594,-0.7267367157719643,-0.46860267026740493,-0.4694483583587976,1.0655718815291277,-0.966253211333169,-0.2682400778187049
-0.5388827799847243,0.6380123947420245,-1.4127196258096109,-9.749554601685544e-05,0.49372806048607154,-0.8993849860219997,-0.7276870851348695,-0.4694483583587976,0.8717840254310878,-0.734439924931729,-0.36304615618840486
-0.5138049938844583,0.22593544136322044,-0.9603837163320957,0.4642107047802372,0.49372806048607154,-0.8840384731108852,-0.9004100283798461,-0.7286463749744576,0.5478069971246752,0.4709891643557625,-0.34284599744486083
-0.5567954843420573,0.8440508714314302,-0.9173041059056657,0.7544033299841446,0.49372806048607154,-0.8840384731108852,-0.8850568778691813,-0.9014450527182314,0.47814377737584246,0.23917587795431836,-0.377474841005222
-0.5317176982417912,0.9264662621071895,-0.7880652746263757,0.8124418550249277,0.49372806048607154,-0.8840384731108852,-0.8850568778691813,-0.8860851702521179,0.40195813409079895,0.23917587795432246,-0.35727468226167797
-0.5030573712700587,1.0088816527829525,-0.9603837163320957,0.667345542422974,0.49372806048607154,-0.8840384731108852,-0.8850568778691813,-0.8860851702521179,0.5566380765180089,-0.08536272300769604,-0.3341887865547706
-0.5173875347559249,2.203904817581485,-0.8096050798395906,0.6963648049433642,0.3897902029300837,-0.8840384731108852,-0.8850568778691813,-0.8860851702521179,0.4312704789498021,-1.3835171268557618,-0.3703566898289256
-0.6248637608999221,2.080281731567846,-0.8526846902660207,0.5802877548618006,0.3897902029300837,-0.8681364303206356,-0.8850568778691813,-0.8860851702521179,0.3631295023891991,-1.429879784136053,-0.4553897390160346
-0.5926208930567229,1.8742432548784402,-0.7665254694131607,0.7253840674637544,0.3897902029300837,-0.8681364303206356,-0.8691479572042845,-0.8860851702521179,0.32682158086048857,-0.966253211333169,-0.4298798242599019
-0.6212812200284555,1.5445816921753956,-0.8742244954792356,0.8124418550249277,0.3897902029300837,-0.8681364303206356,-0.8691479572042845,-0.8701692739410775,0.38396534529063636,-0.4562639812499977,-0.4525553040431309
-0.5675431069564569,1.091297043458712,-0.9603837163320957,0.9865574301472743,0.3897902029300837,-0.8681364303206356,-0.8691479572042845,-0.8701692739410775,0.5019460268846166,0.33190119251490097,-0.41003877944957656
-0.9257971941031143,1.5857893875132751,-0.18495072865635537,0.5802877548618006,0.07797663026212008,-0.8681364303206356,-0.8691479572042845,-0.8701692739410775,-0.6658471178982965,-0.8735278967725906,-0.7498118622647941
-0.8935543262599152,1.7094124735269216,-0.2711099495092154,0.8994996425860984,0.07797663026212008,-1.0059477939753703,-0.8691479572042845,-0.8701692739410775,-0.519458384490977,-0.5026266385302931,-0.7256871012510757
-0.9186321123601812,1.6269970828511622,-0.24957014429600038,0.7834225925045374,0.07797663026212008,-1.0059477939753703,-1.0070189263635871,-0.8701692739410775,-0.5880225969308367,-0.5953519530908674,-0.7444508042617457
-0.9257971941031143,1.7918278642026808,-0.12033131301671034,0.6093070173821908,-0.025961227293867784,-1.0059477939753703,-1.0070189263635871,-1.0081006959189331,-0.7296794144421859,-1.0589785258937476,-0.7685883907730788
-0.9401273575889806,1.668204778189042,-0.18495072865635537,0.8414611175453179,-0.025961227293867784,-0.9911833345939691,-1.0070189263635871,-1.0081006959189331,-0.6950007266328901,-0.5489892958105803,-0.7791052988173367
-0.9078844897457815,1.5857893875132751,-0.14187111822992535,0.7544033299841446,-0.025961227293867784,-0.9911833345939691,-0.9922480811296136,-1.0081006959189331,-0.6722704936511409,-0.5953519530908633,-0.7554422557177565
-0.8792241627740489,1.7506201688648013,-0.0557118973770653,0.6963648049433642,-0.025961227293867784,-0.9911833345939691,-0.9922480811296136,-0.9933233740551641,-0.6986334513913757,-0.8735278967725947,-0.7344084396292409
-0.6965145783292536,0.2671431367011001,-0.7449856641999456,0.5512684923414104,0.2858523453740958,-0.9911833345939691,-0.9922480811296136,-0.9933233740551641,0.19771973425980896,0.563714478916341,-0.5341382943718188
-0.7144272826865865,0.061104660011698106,-0.14187111822992535,-0.43538643335188065,0.2858523453740958,-0.8516481371049389,-0.9922480811296136,-0.9933233740551641,-0.3362221450002836,-0.7808025822120203,-0.548053959284038
-0.7072622009436533,0.18472774602534078,-0.2711099495092154,-0.31930938327031716,0.2858523453740958,-0.8516481371049389,-0.8526525325517417,-0.9933233740551641,-0.21598140892231424,-0.7344399249317332,-0.5424876933191505
-0.7108447418151199,0.5143893087283855,-0.3357293651488604,-0.20323233318875364,0.2858523453740958,-0.8516481371049389,-0.8526525325517417,-0.853666616475713,-0.16627698485292805,-0.919890554052886,-0.5452708263015942
-0.7395050687868525,0.6792200900799078,-0.6588264433470856,-0.029116758066407088,0.2858523453740958,-1.0338437771383862,-0.8526525325517417,-0.853666616475713,0.0722456252327993,-0.8271652394923075,-0.5675358901611449
-0.7323399870439193,0.47318161339050213,-1.2834807945303208,0.4642107047802372,0.2858523453740958,-1.0338437771383862,-1.0349269749623389,-0.853666616475713,0.619005822535133,0.19281322067403528,-0.5619696241962573
-0.6750193331004541,0.3083508320389798,-1.0465429371849557,0.3771529172190639,0.2858523453740958,-1.0338437771383862,-1.0349269749623389,-1.0360209814679902,0.47220269510132107,0.23917587795432246,-0.5174394964771558
-0.7395050687868525,0.22593544136322044,-0.8957643006924507,0.08696029201515641,0.2858523453740958,-1.0338437771383862,-1.0349269749623389,-1.0360209814679902,0.2771808930842349,-0.13172538028798322,-0.5675358901611449
