Model,Train MAE,Train RMSE,Train R2,Test MAE,Test RMSE,Test R2,R2 Gap,CV RMSE Mean,CV RMSE Std,Training Duration,Prediction Duration
XGBoost,0.0652741333382949,0.10535628501145097,0.9944543159868049,0.29049244770470256,0.43766720437441314,0.8854423314569766,0.1090119845298283,0.6264584057378014,0.06950525803508094,0.42575526237487793,0.004419803619384766
LightGBM,0.08814430963992588,0.14464503509586454,0.9895469919281478,0.3128301569010287,0.4584664487347601,0.8742953699669711,0.11525162196117666,0.6361881818454765,0.1426562665207968,0.32113146781921387,0.011357307434082031
Linear Regression,0.2906329293040826,0.4928198405151234,0.8786581558485905,0.2840035994936502,0.4661671199540255,0.8700370882050762,0.008621067643514335,0.6577730506626,0.15385127815505806,0.002689838409423828,0.0007967948913574219
